signal,score,nodes per hidden layer
GluGluToRadionToHHTo2G2Tau_M-260,0.932897090533677,"[8, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-260,0.9404826615772675,"[16, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-260,0.9394720361357739,"[16, 32, 16]"
GluGluToRadionToHHTo2G2Tau_M-260,0.9247705451195869,"[32, 32, 16]"
GluGluToRadionToHHTo2G2Tau_M-260,0.932432602992466,"[32, 64, 32]"
GluGluToRadionToHHTo2G2Tau_M-260,0.9315868810661427,"[64, 64, 32]"
GluGluToRadionToHHTo2G2Tau_M-260,0.8736260396311611,"[64, 128, 64]"
GluGluToRadionToHHTo2G2Tau_M-260,0.8903050211995375,"[128, 128, 64]"
GluGluToRadionToHHTo2G2Tau_M-260,0.9424256990026809,"[16, 32, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-260,0.9386653502609634,"[32, 32, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-260,0.9241938501042538,"[32, 64, 32, 8]"
GluGluToRadionToHHTo2G2Tau_M-260,0.9128620622691225,"[64, 64, 32, 8]"
GluGluToRadionToHHTo2G2Tau_M-260,0.903886214336224,"[64, 128, 64, 8]"
GluGluToRadionToHHTo2G2Tau_M-260,0.8901786186913908,"[128, 128, 64, 8]"
