signal,score,nodes per hidden layer
GluGluToRadionToHHTo2G2Tau_M-550,0.9619995458863793,"[8, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-550,0.9502304261008193,"[16, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-550,0.956268013426118,"[16, 32, 16]"
GluGluToRadionToHHTo2G2Tau_M-550,0.9338436667819242,"[32, 32, 16]"
GluGluToRadionToHHTo2G2Tau_M-550,0.9630867884767776,"[32, 64, 32]"
GluGluToRadionToHHTo2G2Tau_M-550,0.939129803784964,"[64, 64, 32]"
GluGluToRadionToHHTo2G2Tau_M-550,0.9533024813463598,"[64, 128, 64]"
GluGluToRadionToHHTo2G2Tau_M-550,0.9428483033079942,"[128, 128, 64]"
GluGluToRadionToHHTo2G2Tau_M-550,0.9637099660061075,"[16, 32, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-550,0.9599271452006953,"[32, 32, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-550,0.9619298900289972,"[32, 64, 32, 8]"
GluGluToRadionToHHTo2G2Tau_M-550,0.9409927783814264,"[64, 64, 32, 8]"
GluGluToRadionToHHTo2G2Tau_M-550,0.9288483901909931,"[64, 128, 64, 8]"
GluGluToRadionToHHTo2G2Tau_M-550,0.9283663612620365,"[128, 128, 64, 8]"
