signal,score,nodes per hidden layer
GluGluToRadionToHHTo2G2Tau_M-1000,0.983608410855241,"[64, 64, 32]"
GluGluToRadionToHHTo2G2Tau_M-1000,0.9668741655078619,"[64, 64, 32]"
GluGluToRadionToHHTo2G2Tau_M-1000,0.9787825290362938,"[64, 64, 32]"
GluGluToRadionToHHTo2G2Tau_M-1000,0.9951979660347252,"[4, 8, 4]"
GluGluToRadionToHHTo2G2Tau_M-1000,0.9914934768129469,"[4, 8, 4]"
GluGluToRadionToHHTo2G2Tau_M-1000,0.9939919366487545,"[4, 8, 4]"
GluGluToRadionToHHTo2G2Tau_M-1000,0.9941368497503902,"[4, 8, 4]"
GluGluToRadionToHHTo2G2Tau_M-1000,0.5,"[4, 8, 4]"
GluGluToRadionToHHTo2G2Tau_M-1000,0.9923629848510771,"[4, 8, 4]"
GluGluToRadionToHHTo2G2Tau_M-300,0.898078775081139,"[8, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-300,0.8789562118522412,"[16, 32, 16]"
GluGluToRadionToHHTo2G2Tau_M-300,0.8992247022241714,"[32, 64, 32]"
GluGluToRadionToHHTo2G2Tau_M-260,0.9564361859026984,"[8, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-260,0.951834535776897,"[16, 32, 16]"
GluGluToRadionToHHTo2G2Tau_M-260,0.9622010309246556,"[32, 64, 32]"
