signal,score,number_of_features
GluGluToRadionToHHTo2G2Tau_M-600,0.9492220209535848,27
GluGluToRadionToHHTo2G2Tau_M-600,0.941093937651395,20
GluGluToRadionToHHTo2G2Tau_M-600,0.9385691878710871,15
GluGluToRadionToHHTo2G2Tau_M-600,0.9534813359796384,12
GluGluToRadionToHHTo2G2Tau_M-600,0.9392286510599741,10
GluGluToRadionToHHTo2G2Tau_M-600,0.9366869302159856,8
GluGluToRadionToHHTo2G2Tau_M-600,0.941688404318318,6
GluGluToRadionToHHTo2G2Tau_M-600,0.9401257280827672,5
GluGluToRadionToHHTo2G2Tau_M-600,0.9260479204966111,4
GluGluToRadionToHHTo2G2Tau_M-600,0.9334190807723883,3
