GluGluToRadionToHHTo2G2Tau_M-1000,GluGluToRadionToHHTo2G2Tau_M-900,GluGluToRadionToHHTo2G2Tau_M-800,GluGluToRadionToHHTo2G2Tau_M-750,GluGluToRadionToHHTo2G2Tau_M-700,GluGluToRadionToHHTo2G2Tau_M-650,GluGluToRadionToHHTo2G2Tau_M-600,GluGluToRadionToHHTo2G2Tau_M-550,GluGluToRadionToHHTo2G2Tau_M-500,GluGluToRadionToHHTo2G2Tau_M-450,GluGluToRadionToHHTo2G2Tau_M-400,GluGluToRadionToHHTo2G2Tau_M-350,GluGluToRadionToHHTo2G2Tau_M-320,GluGluToRadionToHHTo2G2Tau_M-300,GluGluToRadionToHHTo2G2Tau_M-290,GluGluToRadionToHHTo2G2Tau_M-280,GluGluToRadionToHHTo2G2Tau_M-270,GluGluToRadionToHHTo2G2Tau_M-260
reco_MX_mgg,reco_MX_mgg,reco_MX_mgg,reco_MX_mgg,reco_MX_mgg,reco_MX_mgg,reco_MX_mgg,reco_MX_mgg,reco_MX_mgg,reco_MX_mgg,reco_MX_mgg,ditau_met_dPhi,reco_MX_mgg,reco_MX_mgg,dilep_leadpho_mass,reco_MX_mgg,reco_MX_mgg,reco_MX_mgg
Diphoton_pt_mgg,Diphoton_pt_mgg,Diphoton_pt_mgg,Diphoton_pt_mgg,Diphoton_pt_mgg,Diphoton_pt_mgg,Diphoton_pt_mgg,ditau_dR,Diphoton_pt_mgg,ditau_dR,ditau_mass,Diphoton_ditau_dphi,ditau_dR,dilep_leadpho_mass,reco_MX_mgg,dilep_leadpho_mass,dilep_leadpho_mass,dilep_leadpho_mass
ditau_pt,ditau_pt,ditau_pt,ditau_pt,ditau_pt,ditau_pt,ditau_pt,Diphoton_pt_mgg,ditau_dR,Diphoton_pt_mgg,ditau_dR,jet_1_pt,lead_lepton_mass,ditau_dR,ditau_dR,MET_pt,ditau_pt,ditau_pt
LeadPhoton_pt_mgg,LeadPhoton_pt_mgg,LeadPhoton_pt_mgg,LeadPhoton_pt_mgg,LeadPhoton_pt_mgg,ditau_dR,LeadPhoton_pt_mgg,ditau_pt,LeadPhoton_pt_mgg,ditau_pt,ditau_met_dPhi,ditau_deta,ditau_met_dPhi,ditau_met_dPhi,MET_pt,ditau_dphi,Diphoton_dPhi,Diphoton_dPhi
dilep_leadpho_mass,dilep_leadpho_mass,dilep_leadpho_mass,ditau_dR,ditau_dR,LeadPhoton_pt_mgg,ditau_dR,LeadPhoton_pt_mgg,Diphoton_dPhi,ditau_met_dPhi,Diphoton_ditau_dphi,diphoton_met_dPhi,dilep_leadpho_mass,MET_pt,Diphoton_pt_mgg,ditau_dR,ditau_dphi,ditau_dphi
ditau_dR,ditau_dR,ditau_dR,dilep_leadpho_mass,Diphoton_dPhi,Diphoton_dPhi,Diphoton_dPhi,Diphoton_dPhi,ditau_pt,Diphoton_dPhi,Diphoton_pt_mgg,Diphoton_lead_lepton_dR,ditau_deta,ditau_pt,ditau_dphi,Diphoton_sublead_lepton_dR,LeadPhoton_pt_mgg,Diphoton_pt_mgg
Diphoton_dPhi,Diphoton_dPhi,Diphoton_dPhi,Diphoton_dPhi,dilep_leadpho_mass,dilep_leadpho_mass,ditau_dphi,ditau_met_dPhi,ditau_met_dPhi,LeadPhoton_pt_mgg,jet_1_pt,Diphoton_dPhi,ditau_dphi,jet_1_pt,ditau_met_dPhi,ditau_met_dPhi,Diphoton_pt_mgg,LeadPhoton_pt_mgg
ditau_dphi,ditau_dphi,ditau_dphi,ditau_dphi,ditau_dphi,ditau_dphi,dilep_leadpho_mass,ditau_dphi,ditau_dphi,Diphoton_ditau_dphi,Diphoton_dPhi,dilep_leadpho_mass,Diphoton_ditau_dphi,SubleadPhoton_lead_lepton_dR,Diphoton_dPhi,SubleadPhoton_lead_lepton_dR,MET_pt,MET_pt
SubleadPhoton_pt_mgg,SubleadPhoton_pt_mgg,ditau_met_dPhi,ditau_met_dPhi,ditau_met_dPhi,ditau_met_dPhi,ditau_met_dPhi,dilep_leadpho_mass,Diphoton_ditau_dphi,ditau_dphi,ditau_dphi,ditau_dphi,MET_pt,Diphoton_pt_mgg,LeadPhoton_pt_mgg,lead_lepton_pt,ditau_dR,LeadPhoton_lead_lepton_dR
ditau_met_dPhi,ditau_met_dPhi,SubleadPhoton_pt_mgg,SubleadPhoton_pt_mgg,SubleadPhoton_pt_mgg,Diphoton_ditau_dphi,Diphoton_ditau_dphi,Diphoton_ditau_dphi,dilep_leadpho_mass,diphoton_met_dPhi,ditau_pt,Diphoton_pt_mgg,Diphoton_lead_lepton_deta,ditau_deta,ditau_pt,LeadPhoton_lead_lepton_dR,LeadPhoton_lead_lepton_dR,ditau_dR
