Feature,Range_Low,Range_High,Signal,
reco_MX_mgg,0,10,u,
LeadPhoton_pt_mgg,0,6,u,
Diphoton_pt_mgg,0,8,u,
ditau_pt,0,700,u,
dilep_leadpho_mass,0,1000,u,
ditau_dR,0,5,l,
lead_lepton_pt,0,500,u,
MET_pt,0,600,u,
SubleadPhoton_pt_mgg,0,3,u,*
diphoton_met_dPhi,0,3.2,u,
SubleadPhoton_lead_lepton_dR,0,7,u,
LeadPhoton_ditau_dR,0,7,u,
LeadPhoton_lead_lepton_dR,0,7,u,
Diphoton_sublead_lepton_dR,0,7,u,
Diphoton_lead_lepton_dR,0,7,u,
lead_lepton_mass,0,2,l,
jet_1_pt,0,500,u,
Diphoton_dPhi,0,3.2,l,
ditau_met_dPhi,0,3.2,l,
ditau_deta,0,5,l,
ditau_dphi,0,5,l,
Diphoton_ditau_dphi,0,5,u,
Diphoton_ditau_deta,0,7,l,
Diphoton_lead_lepton_deta,0,7,l,
Diphoton_sublead_lepton_deta,0,7,l,
Diphoton_mass,100,180,u,
ditau_mass,0,700,u,
